tracker	detector	nn	learner	sum
2	81	2	2	87
2	80	3	1	86
2	81	2	2	87
2	80	3	2	87
2	82	3	2	89
2	80	4	1	87
2	80	3	1	86
2	79	4	2	87
2	79	4	1	86
5	84	3	2	94
2	80	3	2	87
2	82	4	2	90
2	80	3	2	87
3	83	5	1	92
2	81	3	2	88
3	83	4	1	91
3	83	4	1	91
2	83	4	4	93
4	85	6	2	97
2	83	6	1	92
2	87	5	3	97
3	89	8	2	102
2	90	6	4	102
3	88	5	2	98
2	93	5	2	102
2	89	6	0	97
2	87	4	3	96
2	86	6	0	94
2	89	7	1	99
2	89	6	2	99
2	88	5	2	97
3	93	5	2	103
2	88	6	1	97
2	88	6	2	98
3	88	6	2	99
2	89	5	2	98
2	93	7	1	103
